candidate_framework_id,framework_name,theoretical_basis_strength,repository_spec_alignment,causal_safety,interpretability,data_availability,implementation_complexity,phase3_join_usability,weighted_score,selected_as_primary,rejection_reason
TREND_STRENGTH_ADX_EMA_SPEC,"ADX(14) trend-strength + EMA9/21/55 alignment (repository-defined SPEC framework)",4.5,5.0,5.0,5.0,5.0,4.5,5.0,4.850,true,""
TREND_STRENGTH_ADX_DMI_DIR,"ADX(14) + +DI/-DI direction (Wilder DMI original)",4.5,3.0,5.0,3.5,5.0,4.5,4.0,4.175,false,"Lower SPEC alignment (SPEC uses EMA alignment, not +DI/-DI); 'transition' requires an arbitrary tolerance band Wilder did not define. Documented as secondary/future-research."
TREND_STRENGTH_EMA_ONLY_SLOPE,"EMA9/21/55 stack + slope (no ADX strength gate)",3.0,3.0,5.0,4.5,5.0,5.0,4.5,4.100,false,"Drops the ADX strength gate the SPEC requires; without it, directional 'strong' labels fire during ranges (false positives). Strictly dominated by the SPEC framework. Secondary/fallback."
vol_01_atr_percentile,"ATR(14) percentile volatility regime",4.0,2.0,4.0,4.5,5.0,4.5,4.0,3.825,false,"Volatility has no direction: cannot map strong_up/strong_down, so canonical coverage is incomplete; adding a direction signal would be forbidden mixing. Adopted as the SECONDARY volatile/range split inside the primary."
vol_02_bbw_squeeze,"Bollinger Band Width compression/expansion",4.0,2.0,4.0,4.5,5.0,4.5,4.0,3.825,false,"Same directional gap as ATR percentile; cannot populate strong_up/strong_down. Secondary volatility feature only."
vol_03_realized_vol_percentile,"Realized-vol percentile (Parkinson / Garman-Klass)",4.5,2.0,4.0,3.5,5.0,3.5,4.0,3.675,false,"Directional gap; range-based estimators degrade at 5m (microstructure noise dominates the high-low range). Future-research / secondary."
vol_04_ttm_squeeze_composite,"TTM Squeeze (BB-inside-Keltner) composite",4.0,2.0,4.5,4.5,5.0,4.5,4.0,3.925,false,"Directional gap (cannot map strong_up/strong_down). Best causal profile in the volatility family (no percentile fit). Recommended candidate implementation for the primary's volatile/range split, but not a standalone primary."
PA_MS_001_dow_structure,"Dow Theory swing structure (HH/HL vs LH/LL)",5.0,3.0,3.5,5.0,5.0,3.0,4.0,4.050,false,"Next-best directional-capable framework, but lower causal_safety (pivot-confirmation lag; ZigZag/centered-window look-ahead trap), higher implementation complexity, and needs an auxiliary volatility feature for volatile/range. Documented as the leading SECONDARY / future-research framework."
PA_MS_002_bos_choch,"Break-of-Structure / Change-of-Character (ICT/SMC)",3.0,3.0,3.0,4.5,5.0,3.0,4.0,3.475,false,"Practitioner-derived (limited peer review); reference open-source implementation is look-ahead biased (uses future candles) and must be rewritten for causal use. Secondary/future-research."
PA_MS_003_wyckoff,"Wyckoff accumulation/markup/distribution/markdown",3.5,2.0,2.5,3.0,4.0,1.5,3.0,2.750,false,"High implementation complexity; subjective sub-events need data calibration; designed for daily bars (severe 5m noise); low SPEC alignment. Future-research on a higher timeframe."
stat_hmrs_hamilton,"Hamilton Markov regime-switching (MS-AR)",5.0,2.0,2.0,1.5,3.0,1.5,3.0,2.625,false,"HARD GATE: low causal_safety (Kim-smoothed default is non-causal; whole-data EM trap) and requires a train-only fit not performable this run (no data). Latent states need post-hoc mapping; K>=4 needed for the 5 regimes. Future-research, data-dependent."
stat_hmm_gaussian,"Hidden Markov Model (Gaussian emissions)",4.5,2.0,2.0,1.5,3.0,1.5,3.0,2.525,false,"HARD GATE: Viterbi default is non-causal; requires train-only fit (no data this run); poor directional discrimination at 5m. Future-research."
stat_gmm_regime,"Gaussian Mixture Model regime classifier",4.0,1.5,2.0,1.5,3.0,2.5,2.5,2.400,false,"HARD GATE: whole-data fit trap, no causal forward analog, requires train-only fit (no data). No temporal structure (label churn); no native transition. Unsupervised exploratory candidate only."
stat_vol_clustering,"Volatility-state clustering (K-means)",3.5,1.5,2.0,2.5,3.0,2.5,2.0,2.425,false,"HARD GATE: centroid fit on full data trap; requires train-only fit (no data); no probabilistic confidence; atheoretic regime count. Record clusters as experimental_regime_candidate only."
SL_01_session_window,"Time-of-day / session-window annotation",4.0,1.0,5.0,5.0,5.0,5.0,4.5,3.975,false,"HARD GATE: very low SPEC alignment — classifies the trading ENVIRONMENT, not price direction; cannot map any canonical price regime. Phase 3 secondary annotation / no-trade filter."
SL_02_funding_proximity,"Funding-interval proximity filter",3.5,1.0,5.0,5.0,4.5,5.0,4.5,3.825,false,"HARD GATE: cannot map canonical price regimes (a time/environment filter only). Phase 3 no-trade filter annotation."
SL_03_volume_microstructure,"Volume / microstructure liquidity regime",4.0,1.5,4.0,3.0,2.0,3.0,3.0,3.000,false,"Cannot map directional regimes; blocked this run by absent volume/OI/taker data. Secondary confidence (volume_score) / future-research."
